OrderID,CustomerID,OrderDate,ShippingDate,ExpectedDeliveryDate,ActualDeliveryDate,ShippingTierID,SupplierID,OrderChannel
OR-000001,CUST-08966,2012-08-02 21:30:00+00:00,2012-08-06 14:55:00+00:00,2012-08-26 10:43:00+00:00,2012-08-12 05:30:00+00:00,SHP-003,SUP-09,Online
OR-000002,CUST-14479,2023-11-16 17:08:00+00:00,2023-11-21 18:29:00+00:00,2023-12-09 05:30:00+00:00,2023-11-23 13:29:00+00:00,SHP-002,SUP-07,Online
OR-000003,CUST-18666,2013-03-07 08:07:00+00:00,2013-03-07 08:12:00+00:00,2013-03-07 08:27:00+00:00,2013-03-07 08:35:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000004,CUST-01024,2023-09-13 06:02:00+00:00,2023-09-13 06:07:00+00:00,2023-09-13 06:29:00+00:00,2023-09-13 06:27:00+00:00,SHP-004,SUP-10,Retail PoS
OR-000005,CUST-19893,2024-01-01 02:31:00+00:00,2024-01-07 04:32:00+00:00,2024-01-16 10:17:00+00:00,2024-02-14 15:42:00+00:00,SHP-001,SUP-05,Online
OR-000006,CUST-07459,2023-12-15 11:56:00+00:00,2023-12-23 04:49:00+00:00,2023-12-28 02:39:00+00:00,2023-12-26 00:11:00+00:00,SHP-001,SUP-09,Online
OR-000007,CUST-14485,2024-03-11 23:35:00+00:00,2024-03-19 20:19:00+00:00,2024-03-20 16:32:00+00:00,2024-03-20 05:54:00+00:00,SHP-002,SUP-10,Online
OR-000008,CUST-17743,2022-11-09 10:30:00+00:00,2022-11-18 06:01:00+00:00,2022-12-06 19:55:00+00:00,2022-11-23 10:43:00+00:00,SHP-002,SUP-03,Online
OR-000009,CUST-01215,2023-10-23 23:40:00+00:00,2023-10-23 23:49:00+00:00,2023-10-24 00:01:00+00:00,2023-10-24 00:12:00+00:00,SHP-004,SUP-07,Retail PoS
OR-000010,CUST-09049,2023-07-10 20:36:00+00:00,2023-07-12 17:44:00+00:00,2023-07-24 16:24:00+00:00,2023-08-22 10:22:00+00:00,SHP-002,SUP-10,Online
OR-000011,CUST-17266,2019-07-18 18:13:00+00:00,2019-07-18 18:18:00+00:00,2019-07-18 18:37:00+00:00,2019-07-18 18:29:00+00:00,SHP-004,SUP-03,Retail PoS
OR-000012,CUST-05611,2024-01-07 13:54:00+00:00,2024-01-07 14:01:00+00:00,2024-01-07 14:15:00+00:00,2024-01-07 14:11:00+00:00,SHP-004,SUP-02,Retail PoS
OR-000013,CUST-05422,2017-07-05 08:41:00+00:00,2017-07-15 05:33:00+00:00,2017-07-18 20:05:00+00:00,2017-07-16 15:38:00+00:00,SHP-002,SUP-01,Online
OR-000014,CUST-14383,2022-12-29 23:52:00+00:00,2023-01-07 07:06:00+00:00,2023-01-27 20:43:00+00:00,2023-02-13 01:42:00+00:00,SHP-001,SUP-07,Online
OR-000015,CUST-00422,2024-03-11 06:18:00+00:00,2024-03-11 06:25:00+00:00,2024-03-11 06:41:00+00:00,2024-03-11 06:53:00+00:00,SHP-004,SUP-09,Retail PoS
OR-000016,CUST-08290,2021-12-11 02:18:00+00:00,2021-12-11 02:24:00+00:00,2021-12-11 02:45:00+00:00,2021-12-11 02:58:00+00:00,SHP-004,SUP-05,Retail PoS
OR-000017,CUST-17315,2022-12-26 12:20:00+00:00,2022-12-29 13:14:00+00:00,2023-01-09 03:18:00+00:00,2023-02-07 08:39:00+00:00,SHP-003,SUP-03,Online
OR-000018,CUST-06139,2016-12-12 02:53:00+00:00,2016-12-14 05:05:00+00:00,2017-01-01 22:19:00+00:00,2016-12-27 22:35:00+00:00,SHP-003,SUP-08,Online
OR-000019,CUST-12898,2017-06-13 11:09:00+00:00,2017-06-20 02:49:00+00:00,2017-07-04 05:15:00+00:00,2017-06-26 08:56:00+00:00,SHP-002,SUP-05,Online
OR-000020,CUST-17222,2024-06-07 02:54:00+00:00,2024-06-13 14:59:00+00:00,2024-06-23 23:37:00+00:00,2024-06-21 11:38:00+00:00,SHP-002,SUP-06,Online
OR-000021,CUST-19404,2024-03-12 04:32:00+00:00,2024-03-17 15:12:00+00:00,2024-03-29 21:25:00+00:00,2024-03-27 10:57:00+00:00,SHP-003,SUP-06,Online
OR-000022,CUST-16656,2020-07-11 13:08:00+00:00,2020-07-14 05:24:00+00:00,2020-07-16 07:55:00+00:00,2020-07-15 05:43:00+00:00,SHP-002,SUP-09,Online
OR-000023,CUST-10567,2021-06-10 05:19:00+00:00,2021-06-15 11:00:00+00:00,2021-07-04 22:53:00+00:00,2021-06-17 13:10:00+00:00,SHP-002,SUP-02,Online
OR-000024,CUST-02133,2024-06-07 11:41:00+00:00,2024-06-15 00:24:00+00:00,2024-06-15 06:14:00+00:00,2024-06-15 01:34:00+00:00,SHP-002,SUP-10,Online
OR-000025,CUST-19285,2015-10-05 17:41:00+00:00,2015-10-08 13:55:00+00:00,2015-10-16 15:41:00+00:00,2015-11-02 23:32:00+00:00,SHP-001,SUP-10,Online
OR-000026,CUST-10585,2024-06-12 12:24:00+00:00,2024-06-16 17:59:00+00:00,2024-07-07 01:26:00+00:00,2024-07-30 17:21:00+00:00,SHP-003,SUP-08,Online
OR-000027,CUST-06137,2023-02-23 07:54:00+00:00,2023-03-01 21:40:00+00:00,2023-03-18 16:40:00+00:00,2023-03-20 22:58:00+00:00,SHP-002,SUP-07,Online
OR-000028,CUST-01938,2021-10-26 18:25:00+00:00,2021-10-27 20:28:00+00:00,2021-10-30 04:41:00+00:00,2021-10-29 07:06:00+00:00,SHP-001,SUP-02,Online
OR-000029,CUST-08027,2023-06-03 03:59:00+00:00,2023-06-06 02:36:00+00:00,2023-06-09 05:16:00+00:00,2023-06-07 14:05:00+00:00,SHP-003,SUP-02,Online
OR-000030,CUST-02683,2022-03-15 06:07:00+00:00,2022-03-20 02:21:00+00:00,2022-04-01 03:28:00+00:00,2022-04-25 16:28:00+00:00,SHP-002,SUP-10,Online
OR-000031,CUST-12533,2023-08-27 16:26:00+00:00,2023-08-27 16:32:00+00:00,2023-08-27 16:48:00+00:00,2023-08-27 17:00:00+00:00,SHP-004,SUP-01,Retail PoS
OR-000032,CUST-05848,2022-05-05 16:09:00+00:00,2022-05-09 19:54:00+00:00,2022-05-21 12:26:00+00:00,2022-06-11 23:19:00+00:00,SHP-002,SUP-10,Online
OR-000033,CUST-15816,2022-07-15 03:43:00+00:00,2022-07-15 03:50:00+00:00,2022-07-15 04:05:00+00:00,2022-07-15 03:58:00+00:00,SHP-004,SUP-04,Retail PoS
OR-000034,CUST-05678,2024-06-02 00:51:00+00:00,2024-06-02 00:56:00+00:00,2024-06-02 01:18:00+00:00,2024-06-02 01:26:00+00:00,SHP-004,SUP-07,Retail PoS
OR-000035,CUST-12171,2022-03-11 08:58:00+00:00,2022-03-19 17:45:00+00:00,2022-03-28 13:30:00+00:00,2022-03-23 19:57:00+00:00,SHP-001,SUP-09,Online
OR-000036,CUST-19796,2011-11-11 20:55:00+00:00,2011-11-13 01:34:00+00:00,2011-11-24 15:06:00+00:00,2011-12-14 04:30:00+00:00,SHP-002,SUP-03,Online
OR-000037,CUST-10795,2023-11-08 19:38:00+00:00,2023-11-12 00:34:00+00:00,2023-11-29 10:38:00+00:00,2023-12-20 00:19:00+00:00,SHP-002,SUP-07,Online
OR-000038,CUST-08385,2024-06-02 00:52:00+00:00,2024-06-03 08:36:00+00:00,2024-06-23 13:13:00+00:00,2024-06-07 22:37:00+00:00,SHP-003,SUP-05,Online
OR-000039,CUST-15479,2020-08-30 04:20:00+00:00,2020-09-03 13:23:00+00:00,2020-09-10 08:51:00+00:00,2020-09-05 10:47:00+00:00,SHP-003,SUP-04,Online
OR-000040,CUST-09549,2024-01-22 09:07:00+00:00,2024-01-26 14:29:00+00:00,2024-02-13 02:35:00+00:00,2024-03-01 01:42:00+00:00,SHP-002,SUP-07,Online
OR-000041,CUST-06307,2023-05-14 14:19:00+00:00,2023-05-14 14:29:00+00:00,2023-05-14 14:44:00+00:00,2023-05-14 14:57:00+00:00,SHP-004,SUP-01,Retail PoS
OR-000042,CUST-04515,2020-10-08 23:15:00+00:00,2020-10-11 00:57:00+00:00,2020-10-24 13:36:00+00:00,2020-10-21 23:11:00+00:00,SHP-005,SUP-01,Retail PoS
OR-000043,CUST-03476,2024-06-15 13:04:00+00:00,2024-06-15 13:12:00+00:00,2024-06-15 13:27:00+00:00,2024-06-15 13:34:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000044,CUST-11344,2024-03-11 16:26:00+00:00,2024-03-13 01:48:00+00:00,2024-03-24 16:43:00+00:00,2024-03-15 06:59:00+00:00,SHP-002,SUP-08,Online
OR-000045,CUST-15351,2021-12-14 03:22:00+00:00,2021-12-14 03:32:00+00:00,2021-12-14 03:49:00+00:00,2021-12-14 03:57:00+00:00,SHP-004,SUP-05,Retail PoS
OR-000046,CUST-10093,2019-01-22 11:23:00+00:00,2019-01-23 18:40:00+00:00,2019-01-26 16:27:00+00:00,2019-01-25 09:46:00+00:00,SHP-003,SUP-04,Online
OR-000047,CUST-14289,2023-05-27 05:56:00+00:00,2023-06-02 23:23:00+00:00,2023-06-16 18:12:00+00:00,2023-06-06 13:29:00+00:00,SHP-002,SUP-06,Online
OR-000048,CUST-16364,2024-06-14 06:28:00+00:00,2024-06-18 07:21:00+00:00,2024-06-26 19:27:00+00:00,2024-06-21 07:01:00+00:00,SHP-001,SUP-10,Online
OR-000049,CUST-03954,2024-04-25 05:17:00+00:00,2024-04-30 17:21:00+00:00,2024-05-01 22:38:00+00:00,2024-05-01 12:11:00+00:00,SHP-001,SUP-01,Online
OR-000050,CUST-02936,2021-03-10 15:11:00+00:00,2021-03-10 15:21:00+00:00,2021-03-10 15:40:00+00:00,2021-03-10 15:40:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000051,CUST-05814,2017-08-27 07:32:00+00:00,2017-08-27 07:39:00+00:00,2017-08-27 08:00:00+00:00,2017-08-27 07:54:00+00:00,SHP-004,SUP-03,Retail PoS
OR-000052,CUST-08199,2016-11-03 19:38:00+00:00,2016-11-08 04:14:00+00:00,2016-11-23 00:15:00+00:00,2016-11-15 11:36:00+00:00,SHP-002,SUP-02,Online
OR-000053,CUST-00678,2019-02-24 18:04:00+00:00,2019-03-01 07:08:00+00:00,2019-03-09 02:37:00+00:00,2019-03-10 05:16:00+00:00,SHP-003,SUP-06,Online
OR-000054,CUST-15423,2013-12-29 00:01:00+00:00,2014-01-01 14:14:00+00:00,2014-01-07 09:04:00+00:00,2014-01-04 03:59:00+00:00,SHP-001,SUP-06,Online
OR-000055,CUST-01240,2020-09-07 03:55:00+00:00,2020-09-17 01:24:00+00:00,2020-10-07 16:45:00+00:00,2020-09-26 20:58:00+00:00,SHP-002,SUP-04,Online
OR-000056,CUST-00136,2008-08-18 05:40:00+00:00,2008-08-18 05:46:00+00:00,2008-08-18 06:02:00+00:00,2008-08-18 06:04:00+00:00,SHP-004,SUP-02,Retail PoS
OR-000057,CUST-00273,2023-07-30 11:23:00+00:00,2023-07-30 11:33:00+00:00,2023-07-30 11:43:00+00:00,2023-07-30 11:51:00+00:00,SHP-004,SUP-10,Retail PoS
OR-000058,CUST-15773,2023-06-23 13:51:00+00:00,2023-06-30 10:47:00+00:00,2023-07-10 13:35:00+00:00,2023-07-08 07:11:00+00:00,SHP-002,SUP-02,Online
OR-000059,CUST-10162,2023-02-26 11:13:00+00:00,2023-02-27 17:59:00+00:00,2023-03-04 02:51:00+00:00,2023-03-21 04:01:00+00:00,SHP-003,SUP-09,Online
