AddressID,CustomerID,AddressLine1,City,State,PinCode,AddressType
OR-00001,CUST-01686,"61/96,_Chauhan_Road
Haldia_060162",Haldia,West_Bengal,60162.0,Billing
UP-00002,CUST-09472,"667
Zachariah_Marg
Mirzapur_143611",Mirzapur,Uttar_Pradesh,143611.0,Billing
JH-00003,CUST-05730,"58/263,_Sathe_Ganj
Phusro-740894",Phusro,Jharkhand,740894.0,Billing
WB-00004,CUST-18097,"H.No._41
Sundaram_Path
Panihati_527225",Panihati,West_Bengal,527225.0,"Billing,_Shipping"
UP-00005,CUST-17574,"86/361,_Madan_Marg
Muzaffarpur_594446",Muzaffarpur,Bihar,594446.0,Shipping
MH-00006,CUST-16139,"94/373,_Loke_Path
Jalgaon_168394",Jalgaon,Maharashtra,168394.0,Billing
TS-00007,CUST-18373,"H.No._56,_Khare_Path,_Proddatur_836868",Proddatur,Andhra_Pradesh,836868.0,Billing
CG-00008,CUST-17386,"21/76,_Kara_Nagar,_Nagpur-625808",Nagpur,Maharashtra,625808.0,"Billing,_Shipping"
HR-00009,CUST-08060,"H.No._90,_Balakrishnan_Path
Siwan_905436",Siwan,Bihar,905436.0,"Billing,_Shipping"
MH-00010,CUST-17714,"84
Golla_Circle
Guntur_082130",Guntur,Andhra_Pradesh,82130.0,"Billing,_Shipping"
MP-00011,CUST-01484,"H.No._46,_Tak_Path,_Kishanganj_671104",Kishanganj,Bihar,671104.0,Shipping
UP-00012,CUST-05480,"81/10,_Swaminathan_Road
Karimnagar-727673",Karimnagar,Telangana,727673.0,Shipping
MH-00013,CUST-14754,"97/936,_Taneja_Ganj
Bhiwandi-543281",Bhiwandi,Maharashtra,543281.0,Billing
MP-00014,CUST-12176,"H.No._613
Yogi_Street
Gorakhpur_430100",Gorakhpur,Uttar_Pradesh,430100.0,Billing
JH-00015,CUST-13285,"77,_Dash
Asansol-537525",Asansol,West_Bengal,537525.0,Shipping
MP-00016,CUST-11444,"662,_Kibe_Road
Kishanganj_052135",Kishanganj,Bihar,52135.0,Shipping
TS-00017,CUST-18172,"62/466,_Khanna_Zila,_Proddatur_355147",Proddatur,Andhra_Pradesh,355147.0,"Billing,_Shipping"
WB-00018,CUST-13723,"620
Taneja_Marg
Bhatpara_517193",Bhatpara,West_Bengal,517193.0,Shipping
WB-00019,CUST-11069,"H.No._212
Sant_Zila
Kulti-545247",Kulti,West_Bengal,545247.0,"Billing,_Shipping"
MP-00020,CUST-13049,"48/698
Datta_Circle
Kota-257578",Kota,Rajasthan,257578.0,Shipping
AP-00021,CUST-17179,"H.No._89,_Sampath_Nagar,_Anantapuram-470878",Anantapuram,Andhra_Pradesh,470878.0,Shipping
WB-00022,CUST-02066,"58
Kapoor_Ganj
Naihati-146338",Naihati,West_Bengal,146338.0,"Billing,_Shipping"
WB-00023,CUST-13084,"96
Gopal_Ganj
Naihati-807954",Naihati,West_Bengal,807954.0,Shipping
OR-00024,CUST-10686,"443,_Dugal_Path,_Mathura_025646",Mathura,Uttar_Pradesh,25646.0,Shipping
MH-00025,CUST-01120,"27/768,_Bhakta_Nagar,_Satara-030893",Satara,Maharashtra,30893.0,Shipping
HR-00026,CUST-13898,"35/99,_Kashyap_Street,_Bikaner_776696",Bikaner,Rajasthan,776696.0,Shipping
TS-00027,CUST-15274,"074
Varma_Street
Ramagundam-414536",Ramagundam,Telangana,414536.0,"Billing,_Shipping"
WB-00028,CUST-06738,"H.No._42,_Gole_Marg
Arrah_267299",Arrah,Bihar,267299.0,"Billing,_Shipping"
MH-00029,CUST-09464,"743,_Kota_Chowk,_Karnal-522606",Karnal,Haryana,522606.0,"Billing,_Shipping"
TR-00030,CUST-01177,"H.No._594,_Dyal_Road,_Chandigarh_673408",Chandigarh,Chandigarh_(Union_Territory),673408.0,Shipping
GJ-00031,CUST-16926,"702,_Doshi_Nagar,_Hajipur-740224",Hajipur,Bihar,740224.0,Billing
UK-00032,CUST-12263,"92,_Butala_Circle,_Shivpuri_436909",Shivpuri,Madhya_Pradesh,436909.0,Billing
OR-00033,CUST-13233,"44,_Bala_Zila
Patna_202552",Patna,Bihar,202552.0,Shipping
OR-00034,CUST-12135,"88/056,_Talwar_Circle
Haldia-430222",Haldia,West_Bengal,430222.0,"Billing,_Shipping"
KA-00035,CUST-05737,"74/034,_Chandra_Ganj,_Amaravati_829121",Amaravati,Andhra_Pradesh,829121.0,Billing
MP-00036,CUST-08148,"11/442
Lad_Ganj
Jalandhar_000692",Jalandhar,Punjab,692.0,Shipping
UP-00037,CUST-00920,"840
Halder_Circle
Farrukhabad_192072",Farrukhabad,Uttar_Pradesh,192072.0,Billing
