CustomerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,RegistrationDate,PreferredPaymentMethodID,third_party_data_sharing,marketing_communication,cookies_tracking,consent_timestamp
CUST-09357,Nirvaan,Khatri,nirvaan985@yahoo.com,917522666658.0,17-10-1993,26-04-2015,PM-004,No,No,Yes,01-06-2026 22:18
CUST-18440,Umang,Ganesh,umang.ganesh962@yahoo.com,918483623061.0,13-04-2005,28-09-2023,PM-003,Yes,Yes,No,01-06-2026 07:40
CUST-07154,Yakshit,Atwal,yakshit.atwal873@gmail.com,919224620512.0,25-01-1976,27-11-2022,PM-002,No,No,No,01-06-2026 05:20
CUST-00030,Lakshit,Chad,lakshit.597@icloud.com,919723586152.0,27-09-1991,17-03-2017,PM-002,No,Yes,Yes,01-06-2026 21:13
CUST-03550,Dhanuk,Kant,dhanuk.kant697@icloud.com,918137434173.0,31-12-1985,06-02-2007,PM-002,Yes,Yes,No,01-06-2026 03:03
CUST-00763,Kiaan,Barad,baradkiaan305@outlook.com,919579633607.0,10-10-1999,19-05-2023,PM-002,No,No,No,01-06-2026 00:07
CUST-07314,Alia,Singh,alia.706@icloud.com,919869323523.0,27-01-2006,23-02-2024,PM-001,Yes,No,No,01-06-2026 18:38
CUST-01035,Indrans,Baral,baralindrans102@gmail.com,918729936173.0,17-09-1989,02-02-2010,PM-003,Yes,No,Yes,01-06-2026 07:26
CUST-06497,Devansh,Gala,devansh753@yahoo.com,917452932329.0,09-04-2004,10-06-2023,PM-001,No,No,No,01-06-2026 20:10
CUST-10654,Emir,Dhingra,emir978@gmail.com,918041313837.0,11-04-2003,26-05-2023,PM-002,Yes,Yes,No,01-06-2026 23:53
CUST-10353,Ayesha,Bhavsar,ayesha.361@icloud.com,918865061043.0,07-05-1978,10-09-2022,PM-002,No,No,Yes,01-06-2026 04:03
CUST-10495,Amani,Yogi,amani.yogi217@icloud.com,919128662148.0,23-01-2003,28-02-2024,PM-004,Yes,Yes,Yes,01-06-2026 20:26
CUST-08376,Adira,Kadakia,adira893@icloud.com,919918547170.0,24-01-1982,24-11-2017,PM-004,No,Yes,No,01-06-2026 01:41
CUST-10094,Urvi,Sodhi,urvi_125@icloud.com,919226287049.0,11-09-1996,31-03-2023,PM-003,Yes,Yes,No,01-06-2026 06:44
CUST-12288,Samaira,Choudhary,samaira.597@gmail.com,918458719265.0,03-07-1989,05-07-2007,PM-002,No,Yes,No,01-06-2026 10:56
CUST-01040,Samarth,Kuruvilla,samarth.kuruvilla352@yahoo.com,919016098626.0,09-02-2002,26-04-2021,PM-004,Yes,Yes,Yes,01-06-2026 08:34
CUST-17854,Suhana,Kunda,suhana548@yahoo.com,919745725055.0,21-07-1999,06-01-2023,PM-004,No,No,No,01-06-2026 21:09
CUST-08580,Jayan,Lala,lalajayan535@gmail.com,919478569842.0,13-03-1991,31-10-2013,PM-001,No,Yes,No,01-06-2026 15:31
CUST-00171,Miraya,Behl,miraya.500@outlook.com,918290243294.0,06-03-1975,14-05-1993,PM-001,Yes,No,Yes,01-06-2026 21:17
CUST-04008,Ayesha,Bail,ayesha.107@outlook.com,919358683424.0,31-01-1996,13-05-2019,PM-003,Yes,Yes,No,01-06-2026 19:44
CUST-15872,Sana,Hans,sana.401@yahoo.com,917187181008.0,05-01-1999,14-03-2021,PM-001,No,Yes,No,01-06-2026 03:37
CUST-09759,Damini,Srivastava,damini.srivastava913@yahoo.com,919908630972.0,09-02-1984,19-10-2018,PM-002,No,Yes,No,01-06-2026 12:59
CUST-19232,Advika,Chaudhary,advika_819@gmail.com,918838101531.0,09-12-1977,28-11-1996,PM-002,No,Yes,No,01-06-2026 02:58
CUST-13972,Madhav,Choudhury,madhav_513@gmail.com,918748950875.0,13-08-1983,19-10-2012,PM-001,Yes,Yes,No,01-06-2026 21:50
CUST-14363,Hansh,Balan,hansh_384@hotmail.com,919176995230.0,10-11-1978,24-10-2002,PM-004,No,Yes,Yes,01-06-2026 17:43
CUST-19753,Tara,Deep,tara_375@icloud.com,918093240943.0,17-10-1994,07-07-2023,PM-002,No,No,No,01-06-2026 10:20
CUST-19437,Lavanya,Kala,kalalavanya971@hotmail.com,917942309456.0,18-06-1990,19-07-2018,PM-002,Yes,Yes,No,01-06-2026 22:43
CUST-06193,Advika,Agrawal,advika.agrawal771@yahoo.com,918975677327.0,02-02-1986,03-12-2007,PM-002,No,No,No,01-06-2026 14:40
