CustomerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,RegistrationDate,PreferredPaymentMethodID
CUST-15001,Vardaniya,Acharya,vardaniya.acharya274@icloud.com,918318791922,1993-12-19,2012-02-05,PM-002
CUST-15002,Zaina,D’Alia,zaina282@yahoo.com,919461246140,1981-02-17,2021-12-06,PM-002
CUST-15003,Zaina,Din,dinzaina590@gmail.com,919333567263,1995-11-03,2014-12-11,PM-001
CUST-15004,Amani,Bhattacharyya,amani.144@yahoo.com,918052085245,1991-10-22,2017-07-20,PM-004
CUST-15005,Aayush,Grover,aayush.742@outlook.com,919894638744,1975-12-26,2018-11-12,PM-001
CUST-15006,Charvi,Varty,charvi_728@yahoo.com,918203929191,2000-01-25,2023-07-04,PM-004
CUST-15007,Dhanuk,Tara,dhanuk.840@outlook.com,919655440804,1987-09-30,2020-08-21,PM-004
CUST-15008,Eva,Dua,eva.dua423@icloud.com,919500728831,1996-10-08,2016-08-02,PM-001
CUST-15009,Shamik,Viswanathan,shamik.viswanathan606@hotmail.com,917984348820,2006-06-03,2024-05-29,PM-004
CUST-15010,Adira,Anne,anneadira194@yahoo.com,919040397324,1976-01-04,1996-02-17,PM-002
CUST-15011,Sana,Khatri,sana.895@icloud.com,918845113249,2001-03-21,2020-09-23,PM-003
CUST-15012,Jiya,Srinivasan,jiya.srinivasan646@hotmail.com,917102998766,1994-09-13,2018-12-19,PM-003
CUST-15013,Damini,Virk,damini.157@gmail.com,918797468090,1992-02-14,2019-02-21,PM-002
CUST-15014,Vanya,Atwal,vanya.588@outlook.com,918647906616,1979-03-29,2018-10-09,PM-004
CUST-15015,Ira,Bhat,ira.929@hotmail.com,918957106617,1981-10-31,2015-11-16,PM-001
CUST-15016,Eva,Samra,eva_475@hotmail.com,919554229153,1985-03-28,2014-06-25,PM-002
CUST-15017,Kismat,Subramaniam,kismat.subramaniam447@outlook.com,919688566005,2006-02-21,2024-05-17,PM-004
CUST-15018,Hiran,Warrior,hiran_724@icloud.com,919855839286,1986-03-12,2014-12-29,PM-001
CUST-15019,Himmat,Tailor,himmat.340@outlook.com,918869443254,1980-03-05,2002-10-02,PM-002
CUST-15020,Aniruddh,Dayal,aniruddh.dayal938@hotmail.com,918094352147,1975-03-26,2003-01-27,PM-004
CUST-15021,Arhaan,Ahluwalia,arhaan618@outlook.com,919275916254,1977-07-12,2015-01-07,PM-003
CUST-15022,Kashvi,Chanda,chandakashvi663@yahoo.com,918160664161,1988-06-25,2010-10-04,PM-001
CUST-15023,Rasha,Kata,rasha958@outlook.com,917687585207,1993-02-25,2022-04-14,PM-001
CUST-15024,Himmat,Chaudhary,chaudharyhimmat916@icloud.com,919938684524,1985-06-03,2006-01-17,PM-002
CUST-15025,Neelofar,Devi,neelofar.645@icloud.com,919289416243,1992-06-29,2017-12-11,PM-004
CUST-15026,Ranbir,Rastogi,ranbir865@yahoo.com,917942224640,1982-10-12,2002-09-23,PM-002
CUST-15027,Ranbir,Warrior,ranbir.922@yahoo.com,918131754790,1988-05-29,2023-11-07,PM-001
CUST-15028,Raunak,Sem,raunak320@icloud.com,917079667064,1979-01-11,2012-03-27,PM-002
CUST-15029,Vidur,Khatri,khatrividur450@yahoo.com,919150726991,1983-07-03,2014-09-17,PM-004
