CustomerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,RegistrationDate,PreferredPaymentMethodID,third_party_data_sharing,marketing_communication,cookies_tracking,consent_timestamp
CUST-04963,Kavya,Srinivas,kavya514@gmail.com,919038935136.0,07-07-1998,23-12-2022,PM-001,No,No,Yes,04-06-2026 12:09
CUST-12228,Seher,Rama,seher.446@yahoo.com,919676076198.0,31-07-1991,07-05-2011,PM-004,No,Yes,No,04-06-2026 15:57
CUST-19306,Aniruddh,Edwin,edwinaniruddh170@icloud.com,919739380876.0,21-08-1983,18-12-2021,PM-001,No,No,No,04-06-2026 04:47
CUST-06778,Nishith,Kadakia,nishith_555@yahoo.com,917797478673.0,20-08-1982,04-01-2004,PM-001,No,No,No,04-06-2026 14:07
CUST-08646,Taran,Som,taran.747@gmail.com,918152271185.0,19-09-1982,09-11-2006,PM-004,No,Yes,Yes,04-06-2026 04:29
CUST-09521,Manikya,Bal,manikya_709@outlook.com,917561533942.0,13-11-2003,26-09-2023,PM-001,Yes,Yes,No,04-06-2026 08:38
CUST-09202,Darshit,Agarwal,agarwaldarshit187@outlook.com,917617847168.0,02-09-1985,01-08-2012,PM-004,No,No,Yes,04-06-2026 16:45
CUST-14213,Mehul,Grewal,mehul_456@icloud.com,917872676263.0,12-07-1990,24-12-2017,PM-004,Yes,No,No,04-06-2026 15:34
CUST-13801,Anika,Kari,karianika134@gmail.com,918996659534.0,15-01-1996,06-09-2022,PM-004,Yes,No,No,04-06-2026 21:24
CUST-11823,Elakshi,Mangal,elakshi196@gmail.com,918020543607.0,08-06-1999,16-06-2020,PM-001,No,No,Yes,04-06-2026 09:17
CUST-05289,Ryan,Doshi,ryan.doshi401@outlook.com,918282083516.0,17-09-1976,04-07-1999,PM-003,No,Yes,No,04-06-2026 21:28
CUST-15210,Kaira,Shere,kaira.shere726@outlook.com,919348233401.0,20-02-2006,24-03-2024,PM-002,No,Yes,Yes,04-06-2026 01:00
CUST-18799,Arnav,Som,arnav_615@hotmail.com,917772314179.0,11-02-1987,04-03-2024,PM-002,No,No,No,04-06-2026 07:11
CUST-00230,Chirag,Bala,chirag.bala105@outlook.com,919435731047.0,08-10-2005,09-01-2024,PM-001,No,No,Yes,04-06-2026 19:30
CUST-01538,Yuvaan,Tara,tarayuvaan828@outlook.com,919801426519.0,23-04-1994,11-08-2019,PM-002,Yes,No,No,04-06-2026 02:12
CUST-14783,Jhanvi,Reddy,reddyjhanvi481@hotmail.com,919907350949.0,01-08-1987,13-08-2016,PM-001,No,Yes,Yes,04-06-2026 12:33
CUST-05635,Prisha,Kapadia,prisha.100@hotmail.com,917208119678.0,12-06-1992,29-01-2020,PM-003,Yes,Yes,Yes,04-06-2026 02:09
CUST-02532,Nakul,Mane,nakul_525@outlook.com,917019155148.0,23-06-1987,07-12-2011,PM-004,Yes,No,No,04-06-2026 21:30
CUST-16968,Navya,Chandra,chandranavya563@icloud.com,918766068897.0,06-02-1994,19-08-2013,PM-004,Yes,No,No,04-06-2026 05:38
CUST-06399,Aaryahi,Srivastava,aaryahi928@yahoo.com,919247355483.0,16-05-1977,06-03-2000,PM-004,No,Yes,Yes,04-06-2026 18:59
CUST-09605,Akarsh,Sachar,sacharakarsh717@hotmail.com,919180355742.0,26-01-1988,04-01-2019,PM-004,Yes,No,No,04-06-2026 06:51
CUST-17434,Ahana ,Kanda,kandaahana 577@yahoo.com,918794855295.0,30-03-2006,25-03-2024,PM-002,No,No,Yes,04-06-2026 15:25
CUST-00580,Tara,Sachdev,sachdevtara810@yahoo.com,918415187908.0,17-08-1990,25-04-2012,PM-001,Yes,No,Yes,04-06-2026 21:38
CUST-15598,Hiran,Hegde,hiran341@icloud.com,918600396658.0,16-04-1984,19-03-2010,PM-001,No,Yes,No,04-06-2026 17:34
CUST-04221,Shray,Khare,shray_441@icloud.com,919655615200.0,15-03-1982,25-02-2024,PM-003,Yes,Yes,No,04-06-2026 22:24
CUST-09861,Ahana ,Samra,ahana .samra186@outlook.com,918953076048.0,05-06-2003,21-05-2023,PM-004,No,Yes,Yes,04-06-2026 04:30
CUST-06490,Samarth,Golla,samarth192@gmail.com,918458307101.0,03-12-2000,03-02-2019,PM-004,Yes,No,No,04-06-2026 07:30
CUST-02950,Aarush,Mand,aarush.489@icloud.com,919766925337.0,15-05-1992,27-09-2023,PM-001,No,Yes,No,04-06-2026 03:35
CUST-11247,Eva,Balakrishnan,eva964@yahoo.com,919480202044.0,20-10-2002,05-11-2021,PM-002,Yes,Yes,No,04-06-2026 19:52
CUST-08617,Divij,Badami,divij_227@gmail.com,917762988350.0,23-07-1975,05-08-2022,PM-003,Yes,No,No,04-06-2026 12:59
CUST-12404,Dhanuk,Balay,dhanuk144@yahoo.com,919538107589.0,01-03-1978,10-07-2013,PM-002,Yes,No,Yes,04-06-2026 03:26
CUST-00353,Gokul,Kala,gokul831@yahoo.com,917794887490.0,08-10-1982,15-04-2018,PM-001,Yes,No,Yes,04-06-2026 11:16
CUST-09576,Raunak,Saraf,sarafraunak767@outlook.com,918034099058.0,29-08-1974,26-10-2000,PM-002,No,Yes,No,04-06-2026 21:57
CUST-15782,Rasha,Ramachandran,rasha.ramachandran761@gmail.com,917944671764.0,01-10-1980,08-09-2003,PM-001,No,Yes,Yes,04-06-2026 14:34
CUST-08496,Nakul,Deshpande,deshpandenakul260@outlook.com,918543805928.0,04-01-1985,26-09-2007,PM-002,No,Yes,No,04-06-2026 13:40
CUST-03628,Reyansh,Lal,reyansh.lal457@outlook.com,919264535861.0,05-06-1994,21-08-2016,PM-003,Yes,No,No,04-06-2026 12:14
CUST-05586,Farhan,Batta,farhan.batta551@icloud.com,917990296079.0,30-12-1992,27-01-2024,PM-001,Yes,No,No,04-06-2026 18:48
CUST-16361,Siya,Malhotra,siya_510@hotmail.com,918090973682.0,06-05-2006,31-05-2024,PM-003,No,No,No,04-06-2026 12:29
CUST-17325,Ehsaan,Jaggi,ehsaan_986@gmail.com,919667833013.0,27-06-1978,14-10-2018,PM-001,Yes,No,No,04-06-2026 12:51
CUST-06751,Amira,Shere,amira655@hotmail.com,919695754663.0,08-05-1987,28-02-2008,PM-001,No,No,Yes,04-06-2026 19:15
CUST-13041,Nishith,Chakraborty,nishith.chakraborty631@gmail.com,919584448202.0,14-02-1983,13-12-2021,PM-003,No,Yes,Yes,04-06-2026 08:54
CUST-16481,Parinaaz,Saini,parinaaz_278@yahoo.com,917888623522.0,03-06-1997,28-06-2016,PM-003,No,No,No,04-06-2026 20:20
