AddressID,CustomerID,AddressLine1,City,State,PinCode,AddressType
CG-20357,CUST-15719,"18,_Butala_Road,_Nagpur-338885",Nagpur,Maharashtra,338885.0,"Billing,_Shipping"
CG-20358,CUST-17817,"534,_Kala_Zila
Malda_794637",Malda,West_Bengal,794637.0,"Billing,_Shipping"
UP-20359,CUST-12359,"H.No._861,_Krishna_Ganj
Jamalpur-918381",Jamalpur,Bihar,918381.0,Billing
MP-20360,CUST-10948,"16/416,_Madan_Street
Kota_783359",Kota,Rajasthan,783359.0,Shipping
WB-20361,CUST-02310,"H.No._14,_Cheema_Ganj
Bidhannagar-278185",Bidhannagar,West_Bengal,278185.0,Billing
UP-20362,CUST-01448,"854
Grover_Circle
Firozabad-651358",Firozabad,Uttar_Pradesh,651358.0,"Billing,_Shipping"
GJ-20363,CUST-02882,"69
Hayer_Street
Hajipur_051580",Hajipur,Bihar,51580.0,"Billing,_Shipping"
MP-20364,CUST-19357,"27/508
Kuruvilla_Path
Mau_791719",Mau,Uttar_Pradesh,791719.0,Billing
CG-20365,CUST-07709,"H.No._17
Mannan_Circle
Malda-273244",Malda,West_Bengal,273244.0,"Billing,_Shipping"
MH-20366,CUST-08482,"H.No._273,_Khalsa_Nagar
Karnal-655142",Karnal,Haryana,655142.0,"Billing,_Shipping"
TN-20367,CUST-12958,"09/66,_Bal_Street
Pallavaram_017425",Pallavaram,Tamil_Nadu,17425.0,Shipping
RJ-20368,CUST-19676,"982
Sama_Street
Fatehpur-747809",Fatehpur,Uttar_Pradesh,747809.0,Shipping
AP-20369,CUST-12764,"43,_Bhandari_Street,_Anantapuram-702137",Anantapuram,Andhra_Pradesh,702137.0,Billing
WB-20370,CUST-15451,"74/77,_Doshi_Zila,_Bhatpara-381527",Bhatpara,West_Bengal,381527.0,"Billing,_Shipping"
WB-20371,CUST-12603,"79/640
Varghese_Street
Baranagar_557921",Baranagar,West_Bengal,557921.0,"Billing,_Shipping"
TN-20372,CUST-03135,"H.No._585
Bhavsar
Avadi-696446",Avadi,Tamil_Nadu,696446.0,Shipping
OR-20373,CUST-02914,"H.No._981,_Chad_Nagar
Anantapur-430090",Anantapur,Andhra_Pradesh,430090.0,Shipping
MP-20374,CUST-13645,"41/081,_Jani_Marg
Indore_507551",Indore,Madhya_Pradesh,507551.0,Billing
BR-20375,CUST-11934,"H.No._32,_Taneja_Path
Satna_663085",Satna,Madhya_Pradesh,663085.0,Billing
MH-20376,CUST-10065,"H.No._204,_Rajan_Path
Jalgaon-396987",Jalgaon,Maharashtra,396987.0,Shipping
TN-20377,CUST-13117,"72/824,_Karnik_Ganj
Tiruvottiyur-611079",Tiruvottiyur,Tamil_Nadu,611079.0,"Billing,_Shipping"
TN-20378,CUST-15852,"H.No._88
Thaman_Path
Pali_507821",Pali,Rajasthan,507821.0,"Billing,_Shipping"
BR-20379,CUST-13935,"H.No._10,_Mall_Street,_Buxar_222130",Buxar,Bihar,222130.0,Billing
OR-20380,CUST-14181,"32/23
Sheth_Nagar
Bharatpur_402593",Bharatpur,Rajasthan,402593.0,Billing
GJ-20381,CUST-00465,"06,_Uppal_Ganj,_Jabalpur_549661",Jabalpur,Madhya_Pradesh,549661.0,Shipping
HR-20382,CUST-11325,"67,_Konda_Path
Siwan-560931",Siwan,Bihar,560931.0,Billing
TN-20383,CUST-14370,"H.No._49,_Aurora_Path
Gandhinagar_589622",Gandhinagar,Gujarat,589622.0,"Billing,_Shipping"
MP-20384,CUST-03363,"H.No._237,_Swamy_Nagar
Ramgarh-069060",Ramgarh,Jharkhand,69060.0,Billing
GJ-20386,CUST-19454,"62/240,_Garde_Path,_Ajmer-743628",Ajmer,Rajasthan,743628.0,"Billing,_Shipping"
WB-20387,CUST-13159,"101
Sura_Ganj
Uluberia_087745",Uluberia,West_Bengal,87745.0,Shipping
UP-20388,CUST-13820,"H.No._84
Kanda_Circle
Shahjahanpur-245922",Shahjahanpur,Uttar_Pradesh,245922.0,Billing
KA-20389,CUST-08282,"18/17,_Ram_Marg,_Mangalore_531955",Mangalore,Karnataka,531955.0,Billing
MH-20390,CUST-17798,"836
D’Alia_Nagar
Karnal_518959",Karnal,Haryana,518959.0,"Billing,_Shipping"
BR-20391,CUST-01324,"40/48,_Edwin_Marg
Satna-261801",Satna,Madhya_Pradesh,261801.0,Shipping
UP-20392,CUST-09239,"H.No._633
Roy_Path
Farrukhabad_582339",Farrukhabad,Uttar_Pradesh,582339.0,Billing
BR-20393,CUST-16171,"034
Tank_Ganj
Satna_146917",Satna,Madhya_Pradesh,146917.0,Billing
MH-20394,CUST-05755,"73/903,_Sidhu_Path
Jalgaon-028681",Jalgaon,Maharashtra,28681.0,Billing
