CustomerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,RegistrationDate,PreferredPaymentMethodID
CUST-08334,Yashvi,Manda,yashvi_515@hotmail.com,917105431882,1985-12-14,2005-06-20,PM-001
CUST-08335,Divyansh,Walia,divyansh.834@icloud.com,917961903214,2002-05-27,2020-12-14,PM-003
CUST-08336,Ishaan,Sunder,ishaan_252@icloud.com,918916353420,1974-11-01,2020-06-20,PM-001
CUST-08337,Ira,Ravel,ira_498@hotmail.com,918658519597,2002-01-16,2021-12-17,PM-002
CUST-08338,Ela,Saha,ela_590@yahoo.com,917465670610,1992-09-11,2021-07-14,PM-001
CUST-08339,Biju,Bhatt,biju.bhatt826@outlook.com,917618355428,1991-11-09,2015-01-22,PM-001
CUST-08340,Dishani,Kakar,dishani437@outlook.com,917548536729,1982-01-03,2015-08-23,PM-002
CUST-08341,Ryan,Manda,mandaryan894@icloud.com,919584379382,1993-12-01,2020-09-01,PM-002
CUST-08342,Yasmin,Gara,yasmin_345@icloud.com,917098446808,1983-08-01,2013-05-09,PM-001
CUST-08343,Akarsh,Badal,akarsh.525@hotmail.com,918031341760,1988-09-16,2020-06-28,PM-001
CUST-08344,Keya,Edwin,keya.955@gmail.com,918994531269,1984-09-21,2010-02-22,PM-003
CUST-08345,Tara,Kunda,tara.552@outlook.com,919830957378,1976-11-25,2024-04-04,PM-002
CUST-08346,Vritika,Buch,vritika.buch935@yahoo.com,918052492462,1977-02-28,2011-05-24,PM-003
CUST-08347,Jayant,Doctor,doctorjayant786@outlook.com,919258201570,1999-06-25,2020-08-08,PM-001
CUST-08348,Aarna,Maharaj,aarna528@icloud.com,918641777153,1985-05-16,2005-11-20,PM-004
CUST-08349,Kismat,Lad,kismat.lad588@hotmail.com,918678911864,2001-10-29,2021-07-25,PM-002
CUST-08350,Hridaan,Bajaj,hridaan_167@yahoo.com,918147876847,1985-11-23,2021-09-11,PM-004
CUST-08351,Kaira,Bhat,kaira.bhat841@outlook.com,919686323922,1991-11-25,2020-12-20,PM-001
CUST-08352,Ryan,Bhattacharyya,ryan.891@hotmail.com,917876145993,1993-06-29,2014-04-17,PM-004
